Timestamp,Event Name,Feedback,Rating,Suggestions
2025-07-18 15:30:32,Workshop on AI,Too crowded and not enough volunteers.,1,Better seating
2025-07-02 15:30:32,Workshop on AI,Too crowded and not enough volunteers.,1,Offer certificates
2025-07-02 15:30:32,Workshop on AI,"Good event, but audio issues were there.",1,More volunteers
2025-07-15 15:30:32,Workshop on AI,Too crowded and not enough volunteers.,2,Better seating
2025-07-22 15:30:32,Tech Fest,Too crowded and not enough volunteers.,1,
2025-07-10 15:30:32,Tech Fest,"Amazing experience, speakers were excellent!",3,Need more workshops
2025-07-14 15:30:32,Workshop on AI,Enjoyed every part of it!,2,Better food options
2025-07-23 15:30:32,Sports Meet,"Nice effort, could use more interactive sessions.",4,
2025-06-27 15:30:32,Cultural Fest,"Nice effort, could use more interactive sessions.",1,Provide handouts
2025-07-01 15:30:32,Sports Meet,Great event! Loved the organization.,1,Provide handouts
2025-06-26 15:30:32,Tech Fest,The event was good but started late.,1,Offer certificates
2025-07-03 15:30:32,Workshop on AI,"Amazing experience, speakers were excellent!",3,Provide handouts
2025-07-02 15:30:32,Cultural Fest,"Nice effort, could use more interactive sessions.",4,Larger venue
2025-07-17 15:30:32,Workshop on AI,Loved the venue and management!,1,Need more workshops
2025-07-06 15:30:32,Tech Fest,Loved the venue and management!,1,Start on time
2025-07-19 15:30:32,Sports Meet,Very informative and engaging.,2,Offer certificates
2025-07-22 15:30:32,Tech Fest,"It was okay, food could be better.",3,
2025-07-24 15:30:32,Workshop on AI,"It was okay, food could be better.",5,
2025-06-25 15:30:32,Sports Meet,Enjoyed every part of it!,4,Better seating
2025-07-07 15:30:32,Sports Meet,Very informative and engaging.,2,Interactive games
2025-06-26 15:30:32,Tech Fest,Too crowded and not enough volunteers.,4,Start on time
2025-07-17 15:30:32,Sports Meet,"Amazing experience, speakers were excellent!",5,Improve sound quality
2025-07-04 15:30:32,Tech Fest,Too crowded and not enough volunteers.,1,Provide handouts
2025-06-24 15:30:32,Sports Meet,Loved the venue and management!,1,Provide handouts
2025-07-05 15:30:32,Workshop on AI,"Nice effort, could use more interactive sessions.",1,Need more workshops
2025-07-02 15:30:32,Sports Meet,The event was good but started late.,5,Larger venue
2025-07-19 15:30:32,Sports Meet,"Amazing experience, speakers were excellent!",5,Need more workshops
2025-06-30 15:30:32,Workshop on AI,"It was okay, food could be better.",2,Better food options
2025-07-21 15:30:32,Tech Fest,"Nice effort, could use more interactive sessions.",5,Improve sound quality
2025-07-07 15:30:32,Workshop on AI,Enjoyed every part of it!,5,Offer certificates
2025-07-01 15:30:32,Sports Meet,Great event! Loved the organization.,5,Larger venue
2025-07-02 15:30:32,Tech Fest,"Amazing experience, speakers were excellent!",5,More volunteers
2025-06-25 15:30:32,Tech Fest,Great event! Loved the organization.,3,Start on time
2025-06-30 15:30:32,Tech Fest,Loved the venue and management!,1,Larger venue
2025-07-23 15:30:32,Workshop on AI,The event was good but started late.,3,
2025-06-29 15:30:32,Sports Meet,Loved the venue and management!,1,Need more workshops
2025-07-17 15:30:32,Cultural Fest,Great event! Loved the organization.,4,Better seating
2025-06-24 15:30:32,Cultural Fest,Loved the venue and management!,3,Offer certificates
2025-07-22 15:30:32,Sports Meet,Loved the venue and management!,2,Interactive games
2025-07-07 15:30:32,Cultural Fest,Loved the venue and management!,4,Improve sound quality
2025-07-21 15:30:32,Cultural Fest,"It was okay, food could be better.",3,Provide handouts
2025-07-24 15:30:32,Sports Meet,Enjoyed every part of it!,2,Better seating
2025-07-13 15:30:32,Sports Meet,"Nice effort, could use more interactive sessions.",2,Offer certificates
2025-07-17 15:30:32,Sports Meet,Loved the venue and management!,4,
2025-06-24 15:30:32,Cultural Fest,Enjoyed every part of it!,2,Improve sound quality
2025-07-09 15:30:32,Cultural Fest,"Amazing experience, speakers were excellent!",4,Need more workshops
2025-07-20 15:30:32,Sports Meet,Very informative and engaging.,3,More volunteers
2025-06-27 15:30:32,Sports Meet,"Amazing experience, speakers were excellent!",1,Better food options
2025-07-15 15:30:32,Tech Fest,Enjoyed every part of it!,3,Start on time
2025-07-20 15:30:32,Tech Fest,Great event! Loved the organization.,4,Larger venue
2025-07-05 15:30:32,Workshop on AI,"Good event, but audio issues were there.",5,Need more workshops
2025-07-16 15:30:32,Workshop on AI,"It was okay, food could be better.",4,Need more workshops
2025-07-11 15:30:32,Tech Fest,"It was okay, food could be better.",4,Interactive games
2025-07-12 15:30:32,Tech Fest,Too crowded and not enough volunteers.,3,
2025-07-18 15:30:32,Workshop on AI,The event was good but started late.,2,Start on time
2025-07-13 15:30:32,Cultural Fest,Very informative and engaging.,1,Better seating
2025-07-20 15:30:32,Sports Meet,"Good event, but audio issues were there.",4,Start on time
2025-06-27 15:30:32,Workshop on AI,Loved the venue and management!,3,More volunteers
2025-07-22 15:30:32,Workshop on AI,Very informative and engaging.,4,Need more workshops
2025-07-23 15:30:32,Sports Meet,"It was okay, food could be better.",3,Interactive games
